City Name,#nodes visisted,Path to Bucharest,Total cost of path,CPU time
Arad,6,[Arad; Sibiu; Rimnicu Vilcea; Pitesti; Bucharest],418,117000
Bucharest,1,[Bucharest],0,0
Craiova,3,[Craiova; Pitesti; Bucharest],239,33000
Dobreta,5,[Dobreta; Craiova; Pitesti; Bucharest],359,47000
Eforie,4,[Eforie; Hirsova; Urziceni; Bucharest],269,49000
Fagaras,2,[Fagaras; Bucharest],211,26000
Giurgiu,2,[Giurgiu; Bucharest],90,20000
Hirsova,3,[Hirsova; Urziceni; Bucharest],183,29000
Iasi,4,[Iasi; Vaslui; Urziceni; Bucharest],319,55000
Lugoj,11,[Lugoj; Mehadia; Dobreta; Craiova; Pitesti; Bucharest],504,178000
Mehadia,8,[Mehadia; Dobreta; Craiova; Pitesti; Bucharest],434,105000
Neamt,5,[Neamt; Iasi; Vaslui; Urziceni; Bucharest],411,42000
Oradea,6,[Oradea; Sibiu; Rimnicu Vilcea; Pitesti; Bucharest],429,62000
Pitesti,2,[Pitesti; Bucharest],101,19000
Rimnicu Vilcea,3,[Rimnicu Vilcea; Pitesti; Bucharest],198,27000
Sibiu,5,[Sibiu; Rimnicu Vilcea; Pitesti; Bucharest],278,70000
Timisoara,12,[Timisoara; Arad; Sibiu; Rimnicu Vilcea; Pitesti; Bucharest],536,184000
Urziceni,2,[Urziceni; Bucharest],85,18000
Vaslui,3,[Vaslui; Urziceni; Bucharest],227,38000
Zerind,9,[Zerind; Arad; Sibiu; Rimnicu Vilcea; Pitesti; Bucharest],493,168000


