City Name,#nodes visisted,Path to Bucharest,Total cost of path,CPU time
Arad,4,[Arad; Sibiu; Fagaras; Bucharest],450,44000
Bucharest,1,[Bucharest],0,0
Craiova,3,[Craiova; Pitesti; Bucharest],239,25000
Dobreta,4,[Dobreta; Craiova; Pitesti; Bucharest],359,36000
Eforie,4,[Eforie; Hirsova; Urziceni; Bucharest],269,32000
Fagaras,2,[Fagaras; Bucharest],211,14000
Giurgiu,2,[Giurgiu; Bucharest],90,19000
Hirsova,3,[Hirsova; Urziceni; Bucharest],183,29000
Iasi,4,[Iasi; Vaslui; Urziceni; Bucharest],319,39000
Lugoj,6,[Lugoj; Mehadia; Dobreta; Craiova; Pitesti; Bucharest],504,54000
Mehadia,5,[Mehadia; Dobreta; Craiova; Pitesti; Bucharest],434,46000
Neamt,5,[Neamt; Iasi; Vaslui; Urziceni; Bucharest],411,39000
Oradea,4,[Oradea; Sibiu; Fagaras; Bucharest],461,36000
Pitesti,2,[Pitesti; Bucharest],101,18000
Rimnicu Vilcea,3,[Rimnicu Vilcea; Pitesti; Bucharest],198,26000
Sibiu,3,[Sibiu; Fagaras; Bucharest],310,27000
Timisoara,7,[Timisoara; Lugoj; Mehadia; Dobreta; Craiova; Pitesti; Bucharest],615,63000
Urziceni,2,[Urziceni; Bucharest],85,19000
Vaslui,3,[Vaslui; Urziceni; Bucharest],227,27000
Zerind,5,[Zerind; Arad; Sibiu; Fagaras; Bucharest],525,48000


