City Name,#nodes visisted,Path to Bucharest,Total cost of path,CPU time
Arad,4,[Arad; Sibiu; Fagaras; Bucharest],450,55000
Bucharest,1,[Bucharest],0,0
Craiova,3,[Craiova; Pitesti; Bucharest],239,24000
Dobreta,4,[Dobreta; Craiova; Pitesti; Bucharest],359,26000
Eforie,4,[Eforie; Hirsova; Urziceni; Bucharest],269,24000
Fagaras,2,[Fagaras; Bucharest],211,12000
Giurgiu,2,[Giurgiu; Bucharest],90,10000
Hirsova,3,[Hirsova; Urziceni; Bucharest],183,28000
Iasi,4,[Iasi; Vaslui; Urziceni; Bucharest],319,33000
Lugoj,6,[Lugoj; Mehadia; Dobreta; Craiova; Pitesti; Bucharest],504,43000
Mehadia,5,[Mehadia; Dobreta; Craiova; Pitesti; Bucharest],434,44000
Neamt,5,[Neamt; Iasi; Vaslui; Urziceni; Bucharest],411,46000
Oradea,4,[Oradea; Sibiu; Fagaras; Bucharest],461,32000
Pitesti,2,[Pitesti; Bucharest],101,15000
Rimnicu Vilcea,3,[Rimnicu Vilcea; Pitesti; Bucharest],198,21000
Sibiu,3,[Sibiu; Fagaras; Bucharest],310,21000
Timisoara,7,[Timisoara; Lugoj; Mehadia; Dobreta; Craiova; Pitesti; Bucharest],615,49000
Urziceni,2,[Urziceni; Bucharest],85,14000
Vaslui,3,[Vaslui; Urziceni; Bucharest],227,20000
Zerind,5,[Zerind; Arad; Sibiu; Fagaras; Bucharest],525,34000


